0	0
0	4
0	2
2	6
2	9
3	10
4	13
4	16
5	17
6	21
6	27
6	25
6	20
8	30
8	29
9	34
11	36
12	42
12	43
12	39
13	45
14	46
14	50
14	52
14	47
15	54
16	58
16	63
16	57
16	65
16	73
16	64
16	72
16	61
16	60
16	68
17	74
17	76
18	91
18	100
18	87
18	94
18	78
18	85
18	105
18	99
18	79
18	81
18	103
18	80
18	101
18	104
18	95
18	83
18	92
19	113
19	114
19	111
19	115
19	109
20	116
20	117
20	121
20	122
22	126
22	127
23	131
23	129
23	128
24	150
24	151
24	135
24	152
24	153
24	137
24	133
24	157
24	146
24	156
24	145
24	154
24	140
24	149
24	141
24	134
25	178
25	162
25	171
25	169
25	165
25	176
25	163
25	159
25	167
25	170
25	172
25	168
26	180
28	183
29	192
29	198
29	207
29	205
29	195
29	120
29	194
29	199
29	204
29	193
29	196
29	189
29	206
29	191
29	187
30	360
30	326
30	384
30	416
30	304
30	296
30	228
30	297
30	291
30	420
30	386
30	330
30	440
30	363
30	275
30	367
30	227
30	430
30	417
30	230
30	380
30	411
30	340
30	342
30	302
30	233
30	224
30	213
30	329
30	198
30	270
30	251
30	408
30	209
30	351
30	327
30	246
30	315
30	344
30	250
30	261
30	339
30	264
30	259
30	226
30	218
30	223
30	421
30	287
30	222
30	301
30	282
30	338
30	354
30	412
30	255
30	444
30	399
30	382
30	368
30	215
30	237
30	279
30	403
30	415
30	397
30	229
30	263
30	347
30	341
30	385
30	212
30	319
30	389
30	394
30	396
30	369
30	419
30	305
30	216
30	318
30	283
30	437
30	383
30	269
30	231
30	308
30	257
30	312
30	439
30	355
30	245
30	370
30	284
30	323
30	352
30	398
30	219
30	303
30	154
30	362
30	295
30	328
30	424
30	365
30	404
30	274
30	260
30	241
30	364
30	410
30	311
30	256
30	240
30	377
30	434
30	289
30	392
30	381
30	423
30	414
30	432
30	244
30	247
30	120
30	407
30	306
30	428
30	356
30	438
30	268
30	266
30	334
30	373
30	280
30	443
30	309
30	236
30	321
30	207
30	278
30	281
30	413
30	271
30	402
30	320
31	445
31	446
31	449
31	451
34	457
34	455
34	456
36	462
37	471
37	466
37	467
37	469
37	463
37	464
38	474
40	478
40	372
40	482
40	477
41	484
41	489
41	487
41	488
43	493
43	491
44	496
44	501
44	505
44	495
44	502
44	497
44	504
45	507
